"customer_unique_id","days_to_second_order"
"2a532e879c1278727d9d7001890cd333","0"
"2a7f837de6a1999e457b8e3c5619156f","127"
"2aba7239448982a76a0a79666419e3a3","0"
"2ac4312997e09e6770fd4c3d52adf77a","4"
"2ac6f6d09c75bb721defa2eb7a4f52a1","50"
"2ae3c67452283d5a0d30b32e0d33296e","37"
"2ae6a57dcdd2f1424598fc480cbf698a","1"
"2b0d2a4ffe3906cd18019c2463cfeee9","21"
"2b100d3737ff053e5003640064ee6ad8","0"
"2b161eaf4956b131691842e87b3c39c7","0"
"2b174670dbec666bbc68b6e2a4062740","64"
"2b19910e856b2ba3e7257e63a093a3df","1"
"2b4871f788b44ee004ec2c7fc7cd420b","105"
"2b4efa2bb0d9e62ee5e197cacd93c0d6","133"
"2b5c14b7e1a3d88ff7e0c46e15851f5f","0"
"2b5ffb4c42d26e466ad575ecce365aa2","396"
"2b6ce149982204423f4efac29701255a","118"
"2b775b75afa0be08220fb73a7e68df3b","129"
"2b952792a20f6076f6e7a9c6a27ade02","173"
"2b9bd15bf8e54b231c518790c55e5f92","43"
"2bd9d2f3cc5d99b1b3d9ff5acd81bd5e","174"
"2be5dce8b491a7bc6a65d6e91bf49812","258"
"2c45ab66a3dae52960147e76a35740ff","227"
"2c6a91479a7dc00d8c9d650d8dee88ca","71"
"2c961ee955abb3ac9a80babd54ed4156","7"
"2ca8ef8560c5cd0f9ddb65d1b1b51380","0"
"2ccc5d0620e07e3b54b83848c31a08fa","22"
"2cf396c9e24e7627ff042cccb209b9e6","39"
"2cff422ea56f68a1e1bdce4371b88d66","11"
"2d0aa39055b967248bf551e220b55f59","0"
"2d14556024f4bbe01f147576097c42fe","208"
"2d49eaf79111ff286fe657aadbed5a28","289"
"2d5e5796e7901464c00407e69739c6db","350"
"2d7a88002fb4c6073fbef4f59707a0e0","0"
"2d7c6bd64b139f0f40968dd19c629532","9"
"2dacd79aa5d1a86240b37b6c588de551","0"
"2dc7f51f05ba1b1a92608e45e55d1fe1","295"
"2dcbfb99d95c7ba6eb992a98627f45b8","5"
"2dd7f52683f631651a5d94056935e1e1","5"
"2ddaeeb8948d70423c3326843412fccf","7"
"2ddc001b620bd90d0f4378cfde1db887","26"
"2e08911037fe7ec67377711eee1fdbf3","95"
"2e0a2166aa23da2472c6a60c4af6f7a6","252"
"2e366b0c6451864364bab2e7917ca1bb","2"
"2e43e031f10de28e557c35ef668f9396","0"
"2e49a3bbeb76297ee0ff49df39c2456c","485"
"2e7c511f54e9d94776c606007d672a22","1"
"2e9399fc2fe209771a6f719e14bdb6fe","1"
"2ef9e79cf6bf3c0dac3b48c8dd46259e","41"
"2f118e666b41b76a61d8cdbbc19f7735","236"
"2f1ae2ed6bbc4661d04c271560570c54","119"
"2f293b442348c20d12aa4537bd3d7234","33"
"2f2f4b5a5700a5b108e6da7f0f5f5bb3","41"
"2f41863e0922b8d1fbb756691b5c315b","0"
"2f679a526d3b619beccc26a3d1435de4","18"
"2f7c8c8386941ce0ef458ca7ff304123","37"
"2f87ccd8d2d676d667a844ee5c6a17bd","117"
"2fa63db193ecb500d4058cae36026f8f","8"
"2fb6dae4fb3a2f917940978144362cd2","194"
"2fc5e667ccf2a1c87a798be23f1c920a","0"
"2fd07dc5dbae616986e00fb72e7a779b","10"
"2fe074ea3cc24b8fd57d29effc995f8b","230"
"2ff1b818fb048c44dc6629f013cceae6","0"
"301a6d74a3eb7cd8e3508a045b8fa2e1","10"
"30a81e307f19e822e7199139fe52b1b0","9"
"30b782a79466007756f170cb5bd6bbd8","16"
"30d2d6693d77801c2bcdfafbba202462","18"
"310647380793836bfa5b7b6b3f518423","129"
"3110339155d740dc64b31e1666952100","0"
"313febe2adc914a7cb3f6e903f8e13cf","453"
"314259ece6a9207c6fc02d925fc996b9","23"
"3170ebd8b32a5e2102c9d75e0a7f6d74","4"
"317f563ca3576550955f39a346b15be5","28"
"318b8659483e12e9cbe1e6550d97f9d9","20"
"319aed7fd576c317a96b55a991befb3e","18"
"31aa2034dc4b34b06487e22a53b4a07a","15"
"31bfa97f1ea0663a50ebc5c811ebdf4d","23"
"31d332d20895c5c0baefe55207a0fead","340"
"31d4b05ef830a7347b8f43640eb6511e","0"
